CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
8167716,2019,2020-01-29,3801,2019-08-16,2211,2287,NORTH,5,5,7,3801,0,0,0,,0,3E60,"VAN NESS AV","HAYES ST",6.00,N,N,A,-,Y,SF,4,101,-,T,5.010,I,5,N,N,2,0,1,2,A,-,11,21453,D,F,G,B,B,A,H,-,C,A,0,Y,,,,Y,Y,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.41963195800781,37.777317047119141
8465796,2019,2019-05-10,3801,2019-01-28,1759,262,TRAFF,1,5,7,3801,0,0,0,,0,4B4J,"CABRILLO ST","46TH AV",0.00,,Y,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,10,21950,A,N,G,B,B,A,H,-,C,D,0,Y,,,,Y,,A,01,0,0,0,1,0,0,0,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.50682830810547,37.773399353027344
8465797,2019,2019-05-10,3801,2019-03-01,1225,4260,TRAFF,5,5,7,3801,0,0,0,,0,4B1C,"WOODSIDE AV","BALCETA AV",75.00,E,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,11,21954,A,N,G,B,D,A,H,-,A,D,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.45607757568359,37.746475219726562
8465872,2019,2019-06-24,3801,2019-03-05,1029,76,TRAFF,2,5,7,3801,0,0,0,,0,3B2H,"LEAVENWORTH ST","GOLDEN GATE AV",14.00,N,N,C,-,N,,,,,,,,,,Y,1,1,0,2,A,-,10,21954,B,N,-,B,D,B,H,-,A,A,0,Y,,,,Y,,A,01,0,0,0,1,0,0,0,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.41386413574219,37.781906127929688
8465873,2019,2019-06-24,3801,2019-03-15,1816,1994,TRAFF,5,5,7,3801,0,0,0,,0,4B3G,"JOHN MUIR DR","SKYLINE BL",1450.00,E,N,A,-,N,,,,,,,,,,Y,1,1,1,3,A,-,10,21950,A,N,G,B,C,A,H,-,A,D,0,Y,,,,Y,,A,01,0,0,1,1,1,0,0,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.49668121337891,37.716533660888672
8465876,2019,2019-06-26,3801,2019-05-29,0525,202,TRAFF,3,5,7,3801,0,0,0,,0,4B1C,"GEARY BL","LAGUNA ST",1.00,E,N,B,-,N,,,,,,,,,,Y,1,1,0,2,A,-,11,21456,C,N,G,B,B,A,H,-,C,A,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.42799377441406,37.785041809082031
8465878,2019,2019-06-26,3801,2019-05-01,2500,2305,TRAFF,3,5,7,3801,0,0,0,,0,4B1H,"SUTTER ST","DIVISADERO ST",0.00,,Y,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,A,01,0,0,0,1,0,0,0,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.43985748291016,37.785251617431641
8465911,2019,2019-07-09,3801,2019-04-23,1216,1114,TRAFF,2,5,7,3801,0,0,0,,0,4C3,"7TH ST","NATOMA ST",36.00,W,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,17,21203,,N,G,B,E,A,H,-,A,D,0,Y,,,Y,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.40998840332031,37.778469085693359
8466026,2019,2019-08-22,3801,2019-07-18,0535,2127,TRAFF,4,5,7,3801,0,0,0,,0,3J1,"MASON ST","EDDY ST",10.00,N,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,10,21950,A,N,G,B,B,A,H,-,C,A,0,Y,,,Y,Y,,F,27,0,0,0,1,0,0,0,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.4093017578125,37.784408569335938
8648648,2019,2019-02-28,3801,2019-01-01,1805,917,TRAFF,2,5,7,3801,0,0,0,,0,4B4E,"HAIGHT ST","STANYAN ST",124.00,E,N,A,-,N,,,,,,,,,,N,1,1,0,2,A,-,11,21955,,N,G,B,D,A,H,-,C,D,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.45310974121094,37.769203186035156
